date,home_team,score,away_team
21-07-2022,Santos,2 - 0,Botafogo FR
24-07-2022,Fortaleza EC,0 - 0,Santos
01-08-2022,Santos,2 - 2,Fluminense FC
08-08-2022,Coritiba FBC,1 - 2,Santos
14-08-2022,America Mineiro,1 - 0,Santos
21-08-2022,Santos,1 - 0,Sao Paulo
28-08-2022,Cuiaba,? - ?,Santos
10-04-2022,Sao Paulo,4 - 0,CA Paranaense
17-04-2022,Flamengo RJ,3 - 1,Sao Paulo
23-04-2022,RB Bragantino,1 - 1,Sao Paulo
02-05-2022,Sao Paulo,2 - 1,Santos
08-05-2022,Fortaleza EC,1 - 1,Sao Paulo
15-05-2022,Sao Paulo,2 - 1,Cuiaba
22-05-2022,Corinthians,1 - 1,Sao Paulo
28-05-2022,Sao Paulo,2 - 2,Ceará SC
04-06-2022,Avai,1 - 1,Sao Paulo
09-06-2022,Coritiba FBC,1 - 1,Sao Paulo
12-06-2022,Sao Paulo,1 - 0,America Mineiro
16-06-2022,Botafogo FR,1 - 0,Sao Paulo
20-06-2022,Sao Paulo,1 - 2,SE Palmeiras
26-06-2022,Sao Paulo,0 - 0,Juventude
03-07-2022,AC Goianiense,1 - 2,Sao Paulo
10-07-2022,Atletico Mineiro,0 - 0,Sao Paulo
17-07-2022,Sao Paulo,2 - 2,Fluminense FC
20-07-2022,Internacional RS,3 - 3,Sao Paulo
23-07-2022,Sao Paulo,3 - 3,Goiás EC
31-07-2022,CA Paranaense,1 - 0,Sao Paulo
06-08-2022,Sao Paulo,0 - 2,Flamengo RJ
14-08-2022,Sao Paulo,3 - 0,RB Bragantino
21-08-2022,Santos,1 - 0,Sao Paulo
28-08-2022,Sao Paulo,? - ?,Fortaleza EC
